"cz20","exposure_pp","unemp_rate_pct","bv_quadrant","bv_pvalue","bv_label"
"311",0.620440972715139,3.1794425087108,"LL (low expo, low-unemp neighbors)",0.017017017017017,"LL (low expo, low-unemp neighbors)"
"312",0.417116176609884,3.89880414288297,"LL (low expo, low-unemp neighbors)",0.973973973973974,"Not significant"
"313",0.454152829532387,0,"LL (low expo, low-unemp neighbors)",0.325325325325325,"Not significant"
"314",0.0764635243833592,7.42403974775463,"LL (low expo, low-unemp neighbors)",0.036036036036036,"LL (low expo, low-unemp neighbors)"
"315",0,0.24906600249066,"LH (low expo, high-unemp neighbors)",0.422422422422422,"Not significant"
"316",0.0528343907712016,5.60485754320411,"LL (low expo, low-unemp neighbors)",0.003003003003003,"LL (low expo, low-unemp neighbors)"
"317",0.37425546406946,2.76736297089805,"LL (low expo, low-unemp neighbors)",0.0880880880880881,"Not significant"
"318",0,0.896860986547085,"LL (low expo, low-unemp neighbors)",0.0970970970970971,"Not significant"
"319",0.133042796292985,3.40447154471545,"LL (low expo, low-unemp neighbors)",0.013013013013013,"LL (low expo, low-unemp neighbors)"
"32",0.388143721959834,6.49785233254322,"LH (low expo, high-unemp neighbors)",0.017017017017017,"LH (low expo, high-unemp neighbors)"
"320",0,6.88816855753647,"LL (low expo, low-unemp neighbors)",0.001001001001001,"LL (low expo, low-unemp neighbors)"
"321",0.0603117709172196,2.61446988219604,"LL (low expo, low-unemp neighbors)",0.0910910910910911,"Not significant"
"322",0.683353478215293,4.22718404508996,"LL (low expo, low-unemp neighbors)",0.636636636636637,"Not significant"
"323",0.419248513966807,3.17467526569171,"LL (low expo, low-unemp neighbors)",0.002002002002002,"LL (low expo, low-unemp neighbors)"
"324",1.01188936926359,2.03149789111171,"HL (high expo, low-unemp neighbors)",0.00800800800800801,"HL (high expo, low-unemp neighbors)"
"325",0.990640455039078,2.36767308414222,"HL (high expo, low-unemp neighbors)",0.00800800800800801,"HL (high expo, low-unemp neighbors)"
"326",0.309436175116015,2.70053249936607,"LL (low expo, low-unemp neighbors)",0.00900900900900901,"LL (low expo, low-unemp neighbors)"
"327",0.263717761412796,3.18589912859783,"LL (low expo, low-unemp neighbors)",0.224224224224224,"Not significant"
